image,text
data/raw/synthetic/urdu_1.png,پاکستان زندہ باد
data/raw/synthetic/urdu_2.png,آج کا موسم خوشگوار ہے
data/raw/synthetic/urdu_3.png,تعلیم ہر انسان کا حق ہے
data/raw/synthetic/urdu_4.png,کراچی پاکستان کا سب سے بڑا شہر ہے
data/raw/synthetic/urdu_5.png,محنت کامیابی کی کنجی ہے
data/raw/synthetic/urdu_6.png,علم روشنی ہے
data/raw/synthetic/urdu_7.png,وقت بہت قیمتی ہے
data/raw/synthetic/urdu_8.png,محنت کا پھل میٹھا ہوتا ہے
data/raw/synthetic/urdu_9.png,ہر مسلمان پاکستانی ہے
data/raw/synthetic/urdu_10.png,صفائی نصف ایمان ہے
data/raw/synthetic/urdu_11.png,درخت لگائیں ماحول بچائیں
data/raw/synthetic/urdu_12.png,کتاب دوست بہترین ہے
data/raw/synthetic/urdu_13.png,ہر انسان برابر ہے
data/raw/synthetic/urdu_14.png,سچے میں کامیابی ہوتی ہے
data/raw/synthetic/urdu_15.png,پاکستان ایک خوبصورت ملک ہے
data/raw/synthetic/urdu_16.png,اردو ہماری قومی زبان ہے
data/raw/synthetic/urdu_17.png,پڑھائی کامیابی کی پہلی سیڑھی ہے
data/raw/synthetic/urdu_18.png,ہمیں دوسروں کی مدد کرنی چاہیے
data/raw/synthetic/urdu_19.png,دیانتداری بہترین پالیسی ہے
data/raw/synthetic/urdu_20.png,اتحاد ایمان اور نظم
data/raw/synthetic 1/41.png,یقین دہانی کے بعد کہ ناموس رسالت ﷺ کے قانون میں
data/raw/synthetic 1/42.png,کسی بھی قسم کی ترمیم یا تبدیلی نہیں کی جا رہی ہے،
data/raw/synthetic 1/43.png,اپنے مظاہروں کا سلسلہ ختم کر دیں۔ انہوں نے تمام تنظیمی ونگز
data/raw/synthetic 1/44.png,اور شعبہ جات کے ارکان سمیت تمام ذمہ داروں اور کارکنوں
data/raw/synthetic 1/45.png,سے کہا کہ وہ مذہبی رواداری اور فرقہ وارانہ ہم آہنگی
data/raw/synthetic 1/46.png,کے فروغ کیلئے گلی گلی کارنرز میٹنگز کا انعقاد کریں۔ انہوں
data/raw/synthetic 1/47.png,نے ان خیالات کا اظہار ایم کیو ایم کے مرکز نائن
data/raw/synthetic 1/48.png,زیرو پر ایم کیو ایم کے مختلف شعبہ جات کے ارکان
data/raw/synthetic 1/49.png,کے اجلاس سے ٹیلیفون پر خطاب کرتے ہوئے کیا۔ اپنے
data/raw/synthetic 1/50.png,فکرانگیز خطاب میں الطاف حسین نے کہا کہ اسلام کے معنی
data/raw/book  1/51.png,امن اور سلامتی ہیں، اسلام صرف مسلمانوں ہی
data/raw/book 1/52.png,کے نہیں بلکہ تمام مذاہب کے احترام کا درس دیتا ہے۔
data/raw/book 1/53.png,قرآن مجید میں اللہ تعالیٰ کا فرمان بالکل واضح ہے کہ ترجمہ:
data/raw/book 1/54.png,میرا دین میرے ساتھ، تمہارا دین تمہارے ساتھ، قرآن مجید میں
data/raw/book  1/55.png,ایک اور جگہ اللہ تعالیٰ کا فرمان ہے کہ
data/raw/book  1/56.png,ترجمہ: دین میں کوئی جبر نہیں، اللہ تعالیٰ اپنے
data/raw/book  1/57.png,اس فرمان میں صاف لفظوں میں بتایا ہے کہ اسلام
data/raw/book 1/58.png,جبر اور انتہا پسندی کا نہیں اعتدال پسندی کا درس دیتا ہے، مذہبی
